FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
165;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.003259038803861801;5.085015974230978e-7
166;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003479327953148435;5.811449661184803e-7
167;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.003056107424811337;4.48897532461588e-7
168;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0035235759175089275;5.587932777259767e-7
169;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.05310197897119981;0.00004925020064078775
170;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0034179680001216184;7.264313068924939e-7
171;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.004028319999974883;0.000001013278839098413
172;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0031669718714001597;4.712495565336333e-7
173;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0033612200011823835;4.84287670162247e-7
174;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003259041207391763;5.085023908751761e-7
175;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0035591743664913156;6.05359686878247e-7
176;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.00390625;9.53674316406e-7
177;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.003383657062307515;5.364421691717494e-7
178;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.039737784237054555;0.000030873348759700956
179;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0034179680000079316;7.264313068404522e-7
180;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005371095999976205;0.0000016689315185395087
181;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.009033203999933903;0.0000034570702514282074
182;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0032590412074150026;5.085023908803803e-7
183;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005493163999972239;0.0000016763802909886308
184;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.003361408905083966;5.420300760312359e-7
185;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0033290955273878285;5.327163181117408e-7
186;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.009898735272279403;0.0000036004920645291716
187;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0034179680000079316;7.264313068404522e-7
188;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003906251999978849;9.536752929586725e-7
189;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0056152359999259716;0.000001788140563924335
190;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.010864259999948445;0.000004090369594516472
191;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.00390625;9.53674316406e-7
192;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.00402832000008857;0.0000010132788391539244
193;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0034731724829674365;5.699691524307322e-7
194;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.01721891756555028;0.000009419395533682083
195;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005249023999908786;0.0000014528634070844107
196;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.003540039999961664;7.748607482732493e-7
197;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0031738280000581653;6.295740108720758e-7
198;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.014219496787425083;0.00000704266263489186
199;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0035400379999828147;7.748599548246406e-7
200;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005249024000022473;0.0000014528634071295135
201;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005126953999933903;0.0000014044347591002225
202;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.013190958431775764;0.000007968396806818946
203;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0031738279999444785;6.29574010826973e-7
204;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.006729927057709199;0.0000020954746771108106
205;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.013533706120356145;0.00000619515867034605
206;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0037841780000462677;8.940688781962689e-7
207;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003784180000025117;8.940697937135869e-7
208;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.007582796909850232;0.0000032410003700734422
209;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.008911131999866484;0.000003129242904624433
210;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0034179679998942447;7.264313067953495e-7
211;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0035400400000753507;7.748607483287606e-7
212;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.007324217999894245;0.0000025741745013421073
213;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003540039999961664;7.748607482732493e-7
214;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003540039999961664;7.748607482732493e-7
215;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005478294532629007;0.0000010728843383712544
216;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0035400400000753507;7.748607483287606e-7
217;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0033836570624113365;5.36442169199505e-7
218;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.00512695400004759;0.0000014044347592008364
219;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0032365792602143876;5.029144535227984e-7
220;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.003383655615109225;5.364416198610586e-7
221;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0031898872308916103;4.7497403428594e-7
222;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005371092000018507;0.0000016689288330209093
223;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003906249999886313;9.499489840891979e-7
224;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005493164000085926;0.0000016763812065579903
225;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0050023364524391465;0.000001240522123379037
226;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0031843930812601507;4.749750108936236e-7
227;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003784180000025117;8.940698547479414e-7
228;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.02653005025236797;0.000017484648812130653
229;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.01146051411502554;0.000007255003552357646
230;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005317174697653435;0.0000013113010864376185
231;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.004782432015582495;8.940689392340928e-7
232;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0048856766545999405;0.000001097098113026637
233;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.11228562035636126;0.00008501857803727528
234;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0032590400884516665;5.085019941283202e-7
235;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003540037999869128;7.748599547795377e-7
236;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.051360508026996175;0.000031175092951772526
237;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.003784182000003966;8.940707702662593e-7
238;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.01581613731955717;0.000009130688356343665
239;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.051538389342056776;0.00003475695933138385
240;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005047984148733142;0.000001113861680977077
241;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003784180000025117;8.940698547479414e-7
242;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0033612200011067617;4.842876701275525e-7
243;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003441116579888513;5.215410843021675e-7
244;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005268890067808332;0.0000013243395967298214
245;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.005371093999997356;0.0000016205011005540391
246;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.035381917449790856;0.000020265581542933563
247;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0035400380000965015;7.823104973270857e-7
248;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.02510570942057728;0.000013766814610435027
249;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0037841780000462677;8.940688781962689e-7
250;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003906248000021151;9.499480686308606e-7
251;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005371094000111043;0.0000016205011006060808
252;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.007456299248104617;0.000003263354042107785
253;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.00865392980167473;0.0000042561440114861235
254;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;rendah;0.0031303007870679897;4.358586253965085e-7
255;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0036621079999576978;8.344644164826992e-7
256;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003662107999844011;8.344644164341269e-7
257;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0146141314140288;0.000008590518779705847
258;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.014640642147210996;0.000007467344286983047
259;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.01232365303722386;0.000007402149934814491
260;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.003073292448766405;4.4703538513312965e-7
