FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
285;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.007307837085925582;0.0000017639249277126699
286;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590400884938415;5.08501994142198e-7
287;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.012860521718961767;0.000005932523264910778
288;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.017442672180125855;0.000019136816488381582
289;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005139757092637316;0.0000011138620777343412
290;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00355917319185087;6.053592901105745e-7
291;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.006801669444404756;0.0000015590344610572838
292;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590412074150026;5.085023908803803e-7
293;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590412073841535;5.085023908717067e-7
294;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.009155272000043624;0.0000035166720276231782
295;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0033290954453314738;5.327163181117407e-7
296;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.08125558937072622;0.00015011987100367266
297;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793279532213824;5.811449661410318e-7
298;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.019429976962125818;0.000023394821823237318
299;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003143994164261534;4.731113682056015e-7
300;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.03322972001558911;0.00005125440717994316
301;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01497539509502547;0.000008193774068001037
302;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.012822346614277478;0.00000794045724203903
303;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011379595500238336;0.000006075947763415849
304;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.00792821527523823;0.0000024940815363267264
305;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.008833673585879515;0.0000028572963656111635
306;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.030310244734521048;0.000030860303504892116
307;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.031118622733597494;0.0000330191067857107
308;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003259040088451666;5.085019941283203e-7
309;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.005958873019271098;0.0000018291187610686323
310;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02815544931782831;0.000021211799396191356
311;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.010986330000037015;0.000007539990097095541
312;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.03652461756562475;0.00006839818802921945
313;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.013444192476250571;0.000005643816942284308
314;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003559176043610294;6.053602361455696e-7
315;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04184914985605745;0.00006722286996254193
316;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003479329156316595;5.811453628427848e-7
317;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02014160199996695;0.000025145710773402646
318;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00892455854741086;0.000002328305929173753
319;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003559174366471724;6.053596868695734e-7
320;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793291564107153;5.811453628757446e-7
321;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.010030150625628398;0.000003855675157491207
322;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005139755719704298;0.000001113861680977077
323;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0133684559637577;0.000004669652291325755
324;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.041378279770892694;0.00006854161564031857
325;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0035330583860990437;5.923212070320978e-7
326;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003305581255865532;5.252657756630721e-7
327;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032365781593894304;5.029140872827115e-7
328;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0033055824157738824;5.252661418701993e-7
329;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034539999918433884;5.699695186517372e-7
330;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.06751628365859394;0.00011117755501555711
331;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0033055796013962977;5.252652568631197e-7
332;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0033290967038373982;5.327167148898216e-7
333;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0070149742763606256;0.0000018160801897420749
334;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.02500934584739635;0.000027868899816797738
335;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.012573242000030405;0.000009670853477517616
336;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.052482943115007896;0.00006236694403958577
337;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04825655575841287;0.00007720291631333278
338;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590412072878885;5.085023908439511e-7
339;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.003479329156384987;5.811453628653362e-7
340;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003559174366445316;6.053596868574303e-7
341;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.019672269019200782;0.000017425044838885975
342;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003559174366445316;6.053596868574303e-7
343;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590400884938415;5.08501994142198e-7
344;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.03956801883357775;0.000053316354720898084
345;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590412072878885;5.085023908439511e-7
346;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00378417999991143;8.940697936580757e-7
347;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003559175698953442;6.053600835591834e-7
348;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.06311650002460821;0.00012203306259536183
349;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04795432367006297;0.00008692219755316138
350;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.007039189183400829;0.000001769512681937198
351;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01672868765428535;0.000011080873244383087
352;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0035591743663981427;6.053596868435525e-7
353;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02589071363353872;0.0000159684570151478
354;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.039278142752865945;0.00008386932341099635
355;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0035400379999828147;7.748599548246406e-7
356;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.006673837325631277;0.0000014733524293358605
357;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793295471920874;5.811455154291711e-7
358;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00903320400004759;0.00000496581291013422
359;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.004909107775644696;0.0000010170043849722714
360;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.012761283066596449;0.000008990988244057952
361;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.029452892561276214;0.000051859760244285506
362;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0035591731918704623;6.05359290119248e-7
363;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005126511953792526;0.0000011380767984750259
364;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.024142287318550396;0.000012313949952167132
365;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00325904008845348;5.085019941248508e-7
366;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.015725227642147396;0.00001168623225973275
367;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0193749872574506;0.00002030283254630936
